Species,Length to Width Ratio (L/W),Length to Patiole Ratio (L/P),Length to Angle Ratio (L/A),Width to Patiole Ratio (W/P),Width to Angle Ratio (W/A)
Class 1,1.55,2.447368421,0.078151261,1.578947368,0.050420168
Class 2,2.914285714,4.857142857,0.145714286,1.666666667,0.05
Class 3,1.5,4.8,0.087272727,3.2,0.058181818
Class 3,1.45,6.214285714,0.079090909,4.285714286,0.054545455
Class 2,3.333333333,4.761904762,0.166666667,1.428571429,0.05
Class 1,1.79245283,2.317073171,0.082608696,1.292682927,0.046086957
Class 3,1.430769231,5.8125,0.075609756,4.0625,0.052845528
Class 2,2.717948718,4.608695652,0.151428571,1.695652174,0.055714286
Class 2,2.472222222,6.846153846,0.148333333,2.769230769,0.06
Class 3,1.453125,7.75,0.080869565,5.333333333,0.055652174
Class 2,2.648648649,4.666666667,0.158064516,1.761904762,0.059677419
Class 1,1.833333333,2.619047619,0.089430894,1.428571429,0.048780488
Class 1,1.97826087,2.333333333,0.069465649,1.179487179,0.035114504
Class 1,2.163265306,2.585365854,0.092173913,1.195121951,0.042608696
Class 2,2.769230769,4,0.186206897,1.444444444,0.067241379
Class 3,1.476923077,5.647058824,0.073282443,3.823529412,0.049618321
Class 3,1.566666667,6.714285714,0.083928571,4.285714286,0.053571429
Class 3,1.375,7,0.059230769,5.090909091,0.043076923
Class 2,2.837837838,4.375,0.166666667,1.541666667,0.058730159
Class 2,3.5,3.862068966,0.189830508,1.103448276,0.054237288
Class 1,2.02173913,2.818181818,0.071538462,1.393939394,0.035384615
Class 1,1.754385965,3.03030303,0.078740157,1.727272727,0.04488189
Class 3,1.507692308,5.764705882,0.084482759,3.823529412,0.056034483
Class 2,3.2,3.2,0.192,1,0.06
Class 1,1.963636364,2.571428571,0.084375,1.30952381,0.04296875
Class 3,1.515151515,5.263157895,0.075757576,3.473684211,0.05
Class 3,1.4375,6.133333333,0.074193548,4.266666667,0.051612903
Class 2,2.575757576,2.833333333,0.1328125,1.1,0.0515625
Class 1,1.75,3.033333333,0.060264901,1.733333333,0.034437086
Class 1,1.897959184,2.325,0.065957447,1.225,0.034751773
Class 1,2.02173913,2.657142857,0.071538462,1.314285714,0.035384615
Class 1,1.807692308,2.685714286,0.06962963,1.485714286,0.038518519
Class 3,1.454545455,5.647058824,0.08,3.882352941,0.055
Class 2,2.945945946,5.19047619,0.178688525,1.761904762,0.060655738
Class 3,1.519230769,5.266666667,0.062698413,3.466666667,0.041269841
Class 1,2,3.066666667,0.074193548,1.533333333,0.037096774
Class 1,1.843137255,2.9375,0.067142857,1.59375,0.036428571
Class 2,2.815789474,4.458333333,0.164615385,1.583333333,0.058461538
Class 2,3.1,4.65,0.155,1.5,0.05
Class 3,1.480769231,9.625,0.057037037,6.5,0.038518519
Class 3,1.433962264,5.846153846,0.062809917,4.076923077,0.043801653
Class 1,1.859649123,2.585365854,0.0848,1.390243902,0.0456
Class 2,3.352941176,6.333333333,0.186885246,1.888888889,0.055737705
Class 1,1.895833333,2.935483871,0.076470588,1.548387097,0.040336134
Class 3,1.5,6.25,0.055970149,4.166666667,0.037313433
Class 1,1.84,2.875,0.076666667,1.5625,0.041666667
Class 1,1.82,2.935483871,0.068939394,1.612903226,0.037878788
Class 2,3.258064516,5.611111111,0.171186441,1.722222222,0.052542373
Class 3,1.538461538,5.714285714,0.066666667,3.714285714,0.043333333
Class 3,1.320754717,6.363636364,0.058333333,4.818181818,0.044166667
Class 1,1.857142857,2.394736842,0.077777778,1.289473684,0.041880342
